ts,gpu0_mib,gpu0_util,gpu1_mib,gpu1_util
1785866536,29285,77,29285,49
1785866539,29285,75,29285,81
1785866542,52349,91,52349,81
1785866545,52349,76,52349,84
1785866548,52349,81,52349,67
1785866552,52349,100,52351,44
1785866555,52349,95,52353,1
1785866558,52353,86,52355,76
1785866561,52353,69,52355,81
1785866564,52355,89,52355,87
1785866567,52355,87,52355,83
1785866570,52355,75,52355,71
1785866573,52355,70,52355,84
1785866576,52355,53,52355,88
1785866579,52355,100,52355,69
1785866582,52355,100,52355,51
1785866585,52355,87,52355,100
1785866589,52355,86,52355,90
1785866592,52355,89,52355,92
1785866595,52355,79,52355,80
1785866598,52355,83,52355,84
1785866601,52355,93,52355,81
1785866604,52355,55,52355,90
1785866607,52355,80,52355,89
1785866610,52355,88,52355,88
1785866613,52355,98,52355,75
1785866616,52973,87,52355,86
1785866619,52355,81,52355,85
1785866623,52355,76,52355,75
1785866626,52355,87,52355,87
1785866629,52355,92,52355,100
1785866632,52355,81,52355,79
1785866635,52355,68,52355,90
1785866638,52355,77,52355,72
1785866641,52355,89,52355,91
1785866644,52355,87,52355,76
1785866647,52355,88,52355,86
1785866650,52355,100,52355,97
1785866653,52355,50,52355,100
1785866656,52355,77,52355,100
1785866660,52355,0,52355,100
1785866663,52355,81,52355,87
1785866666,52355,71,52355,99
1785866669,52355,76,52355,71
1785866672,52355,92,52355,65
1785866675,52355,93,52355,86
1785866678,52355,86,52355,89
1785866681,52973,55,52355,89
1785866684,52355,63,52355,84
1785866687,52355,89,52355,87
1785866690,52355,100,52355,73
1785866693,52355,71,52355,76
1785866697,52355,76,52355,68
1785866700,52355,86,52355,79
1785866703,52355,89,52355,100
1785866706,52355,89,52355,82
1785866709,52355,87,52355,88
1785866712,52355,99,52355,77
1785866715,52355,90,52355,100
1785866718,52355,79,52355,70
1785866721,52355,99,52355,73
1785866724,52355,88,52355,93
1785866727,52355,71,52355,96
1785866730,52355,97,52355,88
1785866734,52355,87,52355,95
1785866737,52355,88,52355,85
1785866740,52355,86,52355,87
1785866743,52355,89,52355,77
1785866746,52355,88,52355,91
1785866749,52355,88,52355,100
1785866752,52355,88,52355,93
1785866755,52355,100,52355,12
1785866758,52355,78,52355,86
1785866761,52355,88,52355,87
1785866764,52355,82,52355,86
1785866768,52355,85,52355,89
1785866771,52355,91,52355,74
1785866774,52355,77,52355,87
1785866777,52355,24,52355,100
1785866780,52355,45,52355,100
1785866783,52355,78,52355,68
1785866786,52355,93,52355,74
1785866789,52355,91,52355,79
1785866792,52355,90,52355,87
1785866795,52355,86,52355,89
1785866798,52355,82,52355,74
1785866801,52355,85,52355,81
1785866804,52355,98,52355,71
1785866808,52355,86,52355,86
1785866811,52355,89,52355,32
1785866814,52355,91,52355,84
1785866817,52355,85,52355,86
1785866820,52355,86,52355,99
1785866823,52355,85,52355,87
1785866826,52355,85,52355,44
1785866829,52355,85,52355,83
1785866832,52355,89,52355,90
1785866835,52355,99,52355,69
1785866838,52355,88,52355,87
1785866842,52355,100,52355,26
1785866845,52355,84,52355,77
1785866848,52355,82,52355,73
1785866851,52355,90,52355,86
1785866854,52355,98,52355,87
1785866857,52355,100,52355,61
1785866860,52355,100,52355,39
1785866863,52355,88,52355,87
1785866866,52355,82,52355,66
1785866869,52355,86,52355,88
1785866872,52355,88,52355,100
1785866875,52355,75,52355,98
1785866879,52355,46,52355,100
1785866882,52355,62,52355,68
1785866885,52355,82,52355,94
1785866888,52355,86,52355,86
1785866891,52355,86,52355,83
1785866894,52355,75,52355,74
1785866897,52355,87,52355,87
1785866900,52355,80,52355,86
1785866903,52355,95,52355,78
1785866906,52355,87,52355,85
1785866909,52355,87,52355,85
1785866913,52355,84,52355,98
1785866916,52355,89,52355,88
1785866919,52355,93,52355,98
1785866922,0,0,0,0
1785866925,0,0,0,0
1785866928,0,0,0,0
1785866931,0,0,0,0
1785866934,0,0,0,0
1785866937,0,0,0,0
1785866940,0,0,0,0
