minor,train,val,test,total
低饱和冷调_01,9,1,1,11
低饱和复古_03,120,7,7,134
全色相黑白_03,4,0,0,4
冷调复古_03,33,2,2,37
冷调青绿_00,14,1,1,16
冷调高亮_04,11,1,1,13
压暗胶片_02,51,3,3,57
品红复古_02,40,2,2,44
复古暖调_00,40,2,2,44
复古暖调_03,42,2,2,46
复古暖调_08,14,1,1,16
复古暖调_11,7,0,0,7
复古胶片_03,63,4,4,71
复古青橙_03,9,1,1,11
撞色暖调_06,47,3,3,53
暖调低饱和_08,6,0,0,6
暖调品红_01,23,1,1,25
暖调品红_05,4,0,0,4
暖调品红_06,36,2,2,40
暖调复古_00,30,2,2,34
暖调复古_01,50,3,3,56
暖调复古_02,35,2,2,39
暖调复古_04,8,0,0,8
暖调胶片_05,50,3,3,56
暖调高亮_00,22,1,1,24
暖调高亮_01,9,0,0,9
暖调高亮_03,6,0,0,6
暖调高亮_04,42,2,2,46
暖调高亮_05,8,0,0,8
暖调高亮_07,4,0,0,4
暗调低饱和_05,2,0,0,2
暗调低饱和_06,8,1,1,10
胶片去色_05,7,0,0,7
胶片复古_00,50,3,3,56
胶片复古_04,117,7,7,131
胶片青橙_04,93,5,5,103
胶片青绿_00,48,3,3,54
青橙低饱和_05,6,0,0,6
青橙低饱和_06,17,1,1,19
青橙复古_02,77,4,4,85
青橙复古_05,45,3,3,51
青橙复古_07,18,1,1,20
青橙暖调_08,6,0,0,6
青橙暗调_00,13,1,1,15
青橙暗调_02,10,1,1,12
青橙暗调_06,13,1,1,15
青橙暗调_08,12,1,1,14
青橙胶片_00,103,6,6,115
青橙胶片_01,103,6,6,115
青橙胶片_03,9,0,0,9
青橙胶片_05,32,2,2,36
青橙高亮_08,2,0,0,2
青绿胶片_01,45,2,2,49
青绿胶片_07,3,0,0,3
青绿高亮_02,29,2,2,33
高亮冷调_01,52,3,3,58
高亮冷调_02,6,0,0,6
高亮冷调_03,6,0,0,6
高亮冷调_04,3,0,0,3
高亮复古_05,46,3,3,52
高亮复古_06,27,2,2,31
高亮复古_09,1,0,0,1
高亮暖调_02,65,4,4,73
高亮暖调_07,8,0,0,8
高亮暖调_09,20,1,1,22
高亮暖调_10,10,1,1,12
高亮清透_01,88,5,5,98
高亮青橙_07,13,1,1,15
高亮青绿_04,24,1,1,26
高饱和冷调_04,7,0,0,7
高饱和暖调_00,91,5,5,101
高饱和暖调_06,1,0,0,1
黑白全色相_00,42,2,2,46
黑白全色相_01,47,3,3,53
黑白全色相_06,5,0,0,5
黑白全色相_07,5,0,0,5
黑白去色_02,16,1,1,18
TOTAL,2288,128,128,2544
